Feature,Speaker
"All Guys Want Cheerleaders: Rachel claimed that she had never failed to score when wearing her cheerleader uniform, leading to her donning it at a party in a desperate attempt to win the attention of Joshua in ""The One with the Fake Party"". It ends with her falling down and biting her lip.",Rachel
"Ambiguously Jewish: She's never said to be Jewish on the show and she celebrates Christmas. On the other hand, she fits the Jewish American Princess stereotype, has a Jewish-sounding name and uses the Yiddish word ""bubbe"" referring to her grandmother. When Phoebe is writing a holiday song, she tries the line ""spin the dreidel, Rachel""; Rachel's only objection is that this doesn't rhyme. Years later, both David Crane and Marta Kauffman said they wrote her as Jewish.",Rachel
"Belligerent Sexual Tension: With Ross, after their breakup in season 3. Also with her co-worker Gavin in season 9, although he only appears in three episodes.",Rachel
"Berserk Button: Don't tell her that she and Ross were on a break. On the other hand, don't tell Ross that they weren't on a break. Don't mess about on any sailing boat Rachel's on. She's inherited her father's intolerance for not respecting the dangers of being at sea.",Rachel
"Better as Friends: With Joey, after they briefly attempt to date late in the series. After their first date, they realize they can't have a sexual relationship because they are too close as friends.",Rachel
Betty and Veronica: The Veronica to Julie's Betty for Ross' Archie. The Betty to Bonnie's Veronica also for Ross' Archie.,Rachel
"Big Sister Instinct: Rachel loves her sisters dearly, but there are times where they test her patience, especially when they drag in their niece and future brother-in-law.",Rachel
Book Dumb: She doesn't know the plot of Wuthering Heights or who was the enemy in World War I (though neither did some of the others). She even actually believes Phoebe when she sarcastically says that the plot of Jane Eyre involves cyborgs. She didn't seem to have any trouble with Little Women though.,Rachel
"Cannot Spit It Out: Happens to her often when she likes someone. With Ross in season 2 (subverted in the first episode of season 5), with Joshua in season 4, and with Joey in season 9.",Rachel
"Catchphrase: Her long drawn-out Oh, Crap! expression of ""Nooooo...""",Rachel
"Character Development: While Rachel started out as spoiled, selfish and somewhat incompetent, she eventually became a successful, independent career woman and a mother.",Rachel
"Character Tic: Whenever she comes up with a lie, Rachel tends to swipe her hair.",Rachel
"Childhood Friends: She and Monica grew up together. While they drifted apart during their college years, they become best friends again during in their mid twenties when Rachel moves in with Monica and Rachel ""grows up"" with her more practical friend.",Rachel
"Clingy Jealous Girl: She easily gets jealous whenever Ross gets a new girlfriend (especially Julie and Bonnie) and sometimes she even tries to ruin their relationship or antagonize Ross' new girlfriend. In fact, she doesn't like it whenever the person she has a crush on is close with another woman. She later displays the same attitude towards Charlie, Joey's new girlfriend, after Rachel falls for him.",Rachel
"Cloudcuckoolander's Minder: To both her sisters. They mostly appear to be spoiled and clueless, so the post-Character Development Rachel can be the mature one.",Rachel
"Cool Aunt: While not his actual Aunt, Rachel is delighted when Ross' son, Ben, starts calling her his 'Fun Aunt Rachel' after she teaches him some practical jokes, much to Ross' chagrin.",Rachel
Cordon Bleugh Chef: Her attempt at making a dessert from a cookbook with two pages glued together results in the trope namer for It Tastes Like Feet.,Rachel
"Cruel Cheerleader: Formerly. She's fairly likable as an adult, but by all accounts, she was an Alpha Bitch during her teen years.",Rachel
Daddy's Girl: Dr. Green's favorite daughter and the one he is the most proud of. She was very glad to learn that.,Rachel
Dating What Daddy Hates: While they managed to hit it off early in the series after a while her father really doesn't like Ross and the feeling is mutual.,Rachel
Daytime Drama Queen: She loves soap operas and is often seen watching them. After Joey gets cast on Days of Our Lives several plots involve him bringing her to set or introducing her to castmates and getting embarrassed when she turns into a Fangirl around them.,Rachel
"The Ditz: She starts out as one as she was clueless concerning any real-life skills, but thanks to Character Development, she becomes a lot more sensible and capable.",Rachel
"Drives Like Crazy: She's a terrible driver, and this is why she's the only one whom Monica doesn't let drive the Porsche.",Rachel
"Dude Magnet: She was one in high school and she's still one as an adult. Aside from all her suitors and/or boyfriends, both Gunther and Ross (and later Joey) remain madly in love with her throughout the show's duration. When Chandler tries to set her up with one of his co-workers, after showing Rachel's picture, at least 20 guys were throwing themselves at Chandler and giving him presents to get a chance to date her. When Joey hosts a party for his soap opera co-stars, she ends up with a huge pile of tissues, which were all the guys who gave her their phone numbers.",Rachel
"Dumbass No More: Starts out as being the most na?ve and arguably least intelligent of the six, but by the second season, is really just Book Dumb and is actually very quick-witted and clever, often deceiving other characters (for good or for bad) with great success.",Rachel
"Dumb Blonde: Rachel has her moments of being a ditzy, na?ve and impulsive Womanchild.",Rachel
"Even the Girls Want Her: Her college friend, played by Winona Ryder, is still in love with her.",Rachel
"Everyone Loves Blondes: Rachel becomes blonde as she rises through the fashion industry, fitting the glamorous and sophisticated version of this trope.",Rachel
"Extreme Doormat: An Informed Attribute of the episode ""The One with the Joke"", in which Rachel is accused of being a ""pushover"" who gets intimidated easily. Usually averted, because she's almost never portrayed as this (quite the opposite, especially when it comes to Ross). She's less brash and assertive than Monica and Phoebe, but not to the point of being a doormat.",Rachel
Eye Scream: Rachel's phobia. An episode involving Rachel with an eye infection reveals Rachel freaks out every time someone gets close to touching an eye.,Rachel
"Fangirl: Of soap operas; Joey tells her that he hides his cast parties from her because of this trope, since she fawns over all the actors. When she finds out Cecilia Monroe, one of her favourite actresses, slept with Joey, she goes screaming across the hall to get Monica so they can Squee at her together.",Rachel
The Fashionista: She quits her job as a waitress in season 3 to pursue a career in fashion. She eventually becomes an executive at Ralph Lauren.,Rachel
First Girl Wins: Of course. She is Ross' first love and the one who ends up with him at the end.,Rachel
"Genius Ditz: She's ditzy and materialistic, but handy with working a boat.",Rachel
"Girly Bruiser: Surprisingly. Rachel is not very athletic and has been described as a pushover, yet in ""The One with the Girl Who Hits Joey"", she has no problem beating up Joey's Pintsized Powerhouse girlfriend.",Rachel
"Girly Girl with a Tomboy Streak: She is a spoiled rich fashionista stereotype, but being Joey's roommate in later seasons brings out the The Lad-ette side of her. She starts having fun with him, by dropping food on the floor, throwing huge spitballs at the entertainment center, or sitting in the reclining chairs while drinking beer (the things Joey used to do with Chandler). In one episode, Phoebe gives Joey drums, hoping this would annoy Rachel, but it doesn't work because Joey and Rachel start playing drums together. The same episode also reveals Rachel loves tarantulas and used to have one as a kid.",Rachel
"Give Geeks a Chance: Paleontologist Ross and the socialite Rachel are the show's lead examples, and had this dynamic going back to high school where he was the nerd and she was the Lovable Alpha Bitch, who barely noticed him. As adult, she's a spoiled, sheltered young woman who eventually goes to work in fashion and he becomes a university professor.",Rachel
"Global Ignorance: Starting in Season 8, she is shown to have terrible geography skills such as not knowing the capital of Sweden even right after Phoebe told her, and Ross even says she doesn't know where any countries are.",Rachel
"Good Parents: Rachel absolutely adores her daughter Emma, to the point where she can come off as overly-clingy and protective in her treatment of her.",Rachel
